domain,source_term,source_language,target_scheme_uri,target_concept_uri,target_label,notes
waste_category,GFT,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/biowaste,Biowaste,Flemish abbreviation for biowaste
waste_category,Bioafval,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/biowaste,Biowaste,Flemish biowaste term
waste_category,Dechets alimentaires,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/food-waste,Food waste,French food waste term
waste_category,Groenafval,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/green-waste,Green waste,Flemish green waste term
waste_category,Dechets verts,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/green-waste,Green waste,French green waste term
waste_category,Restafval,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,Flemish residual waste term
waste_category,Dechets residuels,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,French residual waste term
waste_category,Restabfall,de,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,German residual waste term used in Belgium
collection_system,Huis-aan-huis,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/door-to-door,Door to door,Flemish kerbside collection term
collection_system,Porte-a-porte,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/door-to-door,Door to door,French kerbside collection term
collection_system,Containerpark,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/recycling-centre,Recycling centre,Flemish civic amenity site term
collection_system,Recyparc,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/recycling-centre,Recycling centre,French civic amenity site term
bin_configuration,Gescheiden inzameling,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/bin-configuration,https://brit.bioresource-tools.net/vocab/soilcom/concept/bin-configuration/separate-bins,Separate bins,Flemish source-separated collection
bin_configuration,Tri a la source,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/bin-configuration,https://brit.bioresource-tools.net/vocab/soilcom/concept/bin-configuration/separate-bins,Separate bins,French source-separated collection
fee_system,DIFTAR,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/fee-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/fee-system/pay-as-you-throw,Pay as you throw (PAYT),Flemish pay-as-you-throw abbreviation
fee_system,Redevance fixe,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/fee-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/fee-system/flat-fee,Flat fee,French fixed fee term
connection_type,Verplicht,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/mandatory,mandatory,Flemish mandatory participation
connection_type,Obligatoire,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/mandatory,mandatory,French mandatory participation
connection_type,Vrijwillig,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/voluntary,voluntary,Flemish voluntary participation
connection_type,Facultatif,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/voluntary,voluntary,French voluntary participation
required_bin_capacity_reference,Per inwoner,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/person,person,Flemish per-person capacity reference
required_bin_capacity_reference,Par habitant,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/person,person,French per-person capacity reference
required_bin_capacity_reference,Per huishouden,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/household,household,Flemish per-household capacity reference
required_bin_capacity_reference,Par menage,fr,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/household,household,French per-household capacity reference
