domain,source_term,source_language,target_scheme_uri,target_concept_uri,target_label,notes
waste_category,Bioaffald,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/biowaste,Biowaste,Danish biowaste term
waste_category,Madaffald,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/food-waste,Food waste,Danish food waste term
waste_category,Haveaffald,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/green-waste,Green waste,Danish garden waste term
waste_category,Restaffald,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,Danish residual waste term
collection_system,Husstandsindsamling,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/door-to-door,Door to door,Danish kerbside collection term
collection_system,Bringeordning,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/bring-point,Bring point,Danish bring-point term
collection_system,Genbrugsstation,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/recycling-centre,Recycling centre,Danish recycling centre term
bin_configuration,Kildesortering,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/bin-configuration,https://brit.bioresource-tools.net/vocab/soilcom/concept/bin-configuration/separate-bins,Separate bins,Danish source-separated collection
fee_system,Fast gebyr,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/fee-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/fee-system/flat-fee,Flat fee,Danish fixed fee term
fee_system,Maengdebaseret gebyr,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/fee-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/fee-system/pay-as-you-throw,Pay as you throw (PAYT),Danish quantity-based fee term
connection_type,Obligatorisk,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/mandatory,mandatory,Danish mandatory participation
connection_type,Frivillig,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/voluntary,voluntary,Danish voluntary participation
required_bin_capacity_reference,Per indbygger,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/person,person,Danish per-person capacity reference
required_bin_capacity_reference,Per husstand,da,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/household,household,Danish per-household capacity reference
