domain,source_term,source_language,target_scheme_uri,target_concept_uri,target_label,notes
waste_category,Food waste,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/food-waste,Food waste,UK household food waste stream label
waste_category,Garden waste,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/green-waste,Green waste,UK garden waste stream label
waste_category,Residual waste,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,UK residual waste stream label
waste_category,General waste,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,Common UK synonym for residual waste
collection_system,Kerbside collection,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/door-to-door,Door to door,UK door-to-door collection term
collection_system,Bring bank,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/bring-point,Bring point,UK bring-point term
collection_system,Household waste recycling centre,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/recycling-centre,Recycling centre,UK civic amenity site term
bin_configuration,Source separated,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/bin-configuration,https://brit.bioresource-tools.net/vocab/soilcom/concept/bin-configuration/separate-bins,Separate bins,UK source-separated collection term
fee_system,Pay by weight,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/fee-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/fee-system/pay-as-you-throw,Pay as you throw (PAYT),UK pay-as-you-throw term
connection_type,Mandatory,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/mandatory,mandatory,English mandatory participation term
connection_type,Voluntary,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/voluntary,voluntary,English voluntary participation term
required_bin_capacity_reference,Per person,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/person,person,English per-person capacity reference
required_bin_capacity_reference,Per household,en,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/household,household,English per-household capacity reference
